medicijn
Infectious bovine rhinotracheitis vaccine
beclometasone
flunisolide
fluticasone propionate
fluticasone furoate
mitoxantrone
ganciclovir
ivermectin
natalizumab
tobramycin
fusafungine
ambroxol
bromhexine
bivalent HPV vaccine (types 16
18)
quadrivalent HPV vaccine (types 6
11
16
9-valent HPV vaccine (types 6
18
31
33
45
52 and 58)
dibotermin alfa
inactivated porcine actinobacillosis vaccine
esomeprazole magnesium
candesartan cilexetil
nebivolol
desloratadine
donepezil
repaglinide
esomeprazole
alendronic acid
ropinirole
cefpodoxime
quetiapine
trimetazidine
bosentan
tramadol
escitalopram
trimetazidine hydrochloride
entacapone
hydrochlorothiazide
donepezil hydrochloride
ropinirole hydrochloride
clopidogrel hydrochloride
escitalopram oxalate
metformin hydrochloride
trimetazidine dihydrochloride
rizatriptan benzoate
fluconazole
eletriptan
rizatriptan
ebastine
desmopressin
aciclovir
levetiracetam
venlafaxine
cefpodoxime proxetil
tacrolimus
fexofenadine hydrochloride
phenoxymethylpenicillin
amlodipine besilate
metoclopramide
clopidogrel
levodopa
carbidopa
atorvastatin
telmisartan
clindamycin hydrochloride
metoclopramide hydrochloride
clonazepam
clobazam
dexamethasone
thiamine hydrochloride
tramadol hydrochloride
pioglitazone
dipyridamole
fexofenadine
amlodipine
pantoprazole
hydrocortisone
tolperisone
dexibuprofen
nicorandil
hydroxyzine
colistin
felodipine
ponatinib
ivabradine
spiramycin
mometasone furoate
oxycodone hydrochloride
naloxone hydrochloride
lidocaine
prilocaine
florfenicol
flunixin
testosterone
colistimethate sodium
bromocriptine
captopril
imidapril
zofenopril
delapril
aliskiren
moexipril
enalapril
fosinopril
perindopril
quinapril
ramipril
eprosartan
trandolapril
azilsartan
lisinopril
spirapril
benazepril
cilazapril
diacerein
strontium ranelate
domperidone
dexamfetamine
fipronil
doramectin
cefquinome
tilmicosin
eprinomectin
orbifloxacin
ephedrine hydrochloride
arsenous anhydride
live Newcastle disease virus
VG/GA strain
bovine Herpes Virus type 1
strain Difivac (IBR-Marker Virus
gE-negative)
modified live  virus
methadone
zolpidem
rosuvastatin
ocreotide
human albumin
denatured
ketoconazole
barium selenate
methysergide
Ceftriaxone
octocog alfa
tibolone
alfacalcidol
valaciclovir
acipimox
monovalent and multivalent measles
mumps
rubella and varicella vaccines
nicardipine
thiocolchicoside
dihydroergocristine
dihydroergotamine
dihydroergotoxine
nicergoline
dihydroergocryptine
caffeine
desogestrel
gestodene
norgestimate
drospirenone
chlormadinone
nomegestrol
norelgestromin
prednisolone sodium phosphate
teicoplanin
ciclosporin
didanosine
methylphenidate hydrochloride
piperacillin
tazobactam
human normal immunoglobulin
clavulanic acid
terbutaline
salbutamol
hexoprenaline
ritodrine
fenoterol
isoxsuprine
aprotinin
aminocaproic acid
tranexamic acid
triclabendazole
deltamethrin
cilostazol
codeine
furosemide
simvastatin
calcitonin
tetrazepam
almitrine
laropiprant
nicotinic acid
formoterol fumarate
bezafibrate
ciprofibrate
fenofibrate
gemfibrozil
fibrin
meloxicam
leflunomide
loratadine
cefuroxime sodium
cefuroxime axetil
clorsulon
nitroxinil
rafoxanide
mifepristone
orlistat
glimepiride
epoprostenol
praziquantel
pyrantel
febantel
valproate
influenza vaccine
purified antigen
docetaxel
measles
mumps and rubella vaccine
buflomedil
letrozole
meprobamate
galantamine
somatropin
nimesulide
camphor
cineole
niaouli
wild thyme
terpineol
terpine
citral
menthol
essential oils of pine needle
eucalyptus and turpentine
pholcodine
dapoxetine
imipenem
cilastatin
clotrimazole
goserelin
ceftiofur
levothyroxine sodium
Mannheimia haemolytica biotype A serotype A1
inactivated cell free suspension containing leukotoxoid Ph. Eur.
inactivated Histophilus somni Bailie strain
Prednisolone
formaldehyde-inactivated whole-cell bacterial vaccine containing three strains of Actinobacillus pleuropneumoniae (serotypes 2
9 and 11) and one strain of Pasteurella multocida
sulfadiazine
ephedrine
Doxycycline
ketoprofen
heparin sodium
levomenthol
hydroxyethyl salicylate
potassium clavulanate
bufexamac
clodronic acid
etidronic acid
ibandronic acid
neridronic acid
pamidronic acid
risedronic acid
tiludronic acid
zoledronic acid
chlorhexidine diacetate
risedronate sodium
Calcium carbonate
fluvastatin
granisetron
famciclovir
bendamustine
benfluorex
anastrozole
tolperisone hydrochloride
hydromorphone
morphine
oxycodone
iodocasein
thiamine nitrate
morphine sulphate
modafinil
calcipotriol
betamethasone
dextropropoxyphene
sibutramine
latanoprost
inactivated Bovine Viral Diarrhoea  type 1 virus
cytopathogenic strain 5960
ceftazidime
live infectious bursal disease virus
strain V877
methylphenidate
inactivated whole cell concentrate of Mycoplasma hyopneumoniae strain 11
live attenuated PRRS virus strain DV
marbofloxacin
danofloxacin mesilate
danofloxacin
flumequine
difloxacin hydrochloride
oxolinic acid
difloxacin
toltrazuril
tylosin tartrate
topiramate
meropenem
icodextrin
fentanyl citrate
itraconazole
fludeoxyglucose
Xylazine
medetomidine
detomidine
romifidine
sertraline
bleomycin
human hepatitis B immunoglobulin
etoricoxib
sodium salicylate
risperidone
cetirizine
mirtazapine
sulfamethoxazole
gemcitabine
norethisterone acetate
lamotrigine
doxycycline monohydrate
montelukast
ciclesonide
cabergoline
lisuride
pergolide
Haemophilus type b and Meningococcal group C conjugate vaccine
clostridium botulinum neurotoxin type A
bicalutamide
piroxicam
veralipride
lumiracoxib
Lansoprazole
carisoprodol
clobutinol
lornoxicam
cefuroxime
histrelin acetate
salmeterol
fluticasone
betahistine dihydrochloride
glucosamine hydrochloride
Doxazosin
gabapentin
fluoxetine
pimecrolimus
live attenuated yellow fever virus
nifedipine
Alteplase
celecoxib
paroxetine
atomoxetine
citalopram
fluvoxamine
mianserine
milnacipran
reboxetine
rosuvastatin calcium
Calcium lactate gluconate
pseudoephedrine
rofecoxib
pravastatin
calcium
Clostridium botulinum type A neurotoxin complex
calcium folinate
cerivastatin
bupropion
clozapine
cisapride
sertindole
dacarbazine
midazolam
hepatitis B recombinant vaccine
adsorbed
Tirofiban
vigabatrin
mizalostine
terfenadine
chlormezanone
phentermine
amfepramome
clobenzorex
dexfenfluramine
fenbutrazate
fenfluramine
fenproporex
mazindol
mefenorex
norpseudoephedrine
phenmetrazine
phendimetrazine
propylhexedrine
naftidrofuryl
sparfloxacin
